,ID,ROA,ROE,Operating gross profit margin,cash flow,Debt ratio,Total asset turnover,After-tax net profit growth rate,Growth_CLass
520,3017,5.68,21.01,15.71,"-1,450,213",72.25,1.04,113.21,3
521,3018,-4.13,-11.99,8.84,"-7,212",69.93,1.01,72.52,2
522,3019,0.93,1.22,18.61,"1,376,576",25.81,0.79,-54.91,0
523,3021,3.66,7.61,21.07,"89,448",53.79,1.06,-29.64,0
524,3022,10.08,14.25,36.02,"1,234,475",30.0,0.59,47.72,2
525,3023,11.13,25.9,25.63,"-663,686",58.75,1.07,30.14,2
526,3024,0.85,1.22,23.45,"36,834",29.53,0.34,-10.44,1
527,3025,7.39,9.32,55.78,"57,105",21.13,0.57,59.36,2
528,3026,8.58,12.88,20.78,"1,020,986",34.77,1.03,85.85,3
529,3027,0.83,1.29,38.76,"440,394",39.44,0.37,303.02,3
530,3028,3.64,13.24,4.71,"143,029",75.11,2.05,104.71,3
531,3029,8.64,18.14,10.64,"300,573",51.21,1.84,26.13,2
532,3030,16.21,19.83,54.85,"811,794",18.51,0.73,16.4,2
533,3031,5.24,6.48,27.44,"230,620",18.98,0.39,-43.08,0
534,3032,6.82,16.67,18.39,"586,704",61.51,1.04,56.56,2
535,3033,2.44,9.62,5.25,"-592,828",73.42,2.53,168.56,3
536,3034,25.25,36.3,34.97,"6,993,557",31.25,1.52,49.07,2
537,3035,17.0,23.29,47.31,"512,204",22.66,0.69,-23.87,1
538,3036,8.92,29.78,3.05,"-4,002,398",64.8,3.04,49.91,2
539,3037,5.14,11.9,14.6,"2,017,525",57.42,0.75,62.32,2
540,3038,5.7,10.5,21.03,"166,872",45.12,1.03,-9.36,1
541,3040,28.5,31.14,55.4,"436,579",6.86,0.09,364.58,3
542,3041,-5.93,-7.18,31.75,"236,992",18.54,0.53,24.18,2
543,3042,11.55,18.85,30.17,"815,673",41.84,0.74,112.76,3
544,3043,-3.19,-41.84,19.95,"9,531",93.71,0.88,-161.3,0
545,3044,7.79,16.3,20.07,"4,647,805",52.08,0.76,1.46,1
546,3045,6.82,15.79,23.67,"29,904,058",61.0,0.78,-6.76,1
547,3046,-2.99,-7.54,18.81,"16,492",62.36,1.17,60.43,2
548,3047,2.75,6.98,25.71,"-269,651",59.98,0.89,47.62,2
