ROA,ROE,Operating gross profit margin,cash flow,Debt ratio,Total asset turnover,kMeans_labels,rate
-0.556789956,-0.246355231,-0.029752381,-0.06446686,0.317622665,-0.73564209,1,0
0.002129227,0.010625363,-0.12469115,-0.133220931,-0.663596116,0.066665437,9,1
-1.023847174,-0.555900037,-0.561823552,-0.420969438,0.586914475,-0.362475798,1,0
-0.168313454,-0.054917667,-0.046314908,-0.240256679,-0.457386443,-0.269184225,8,0
-0.083092114,0.048588405,0.152435413,-0.015129454,0.385475719,0.812998021,3,0
0.049720366,-0.042912261,-0.231460296,-0.16148802,-2.087450058,-0.996858495,8,0
0.700501514,0.347750156,0.043891711,-0.119579077,-0.663596116,0.663731505,9,1
0.111699523,0.226073739,0.041525636,-0.13258835,0.712018544,-0.04528445,3,0
-0.442792578,0.007056188,0.480728354,2.098747074,2.443331639,-1.276733214,4,0
0.397246353,0.171238234,0.675338043,-0.134118325,-0.78445937,-0.194550967,9,0
0.786829625,0.505442793,-0.493798889,-0.123696156,0.168133904,-0.213209282,9,1
-0.11076138,-0.043236731,0.109550299,0.657398509,-0.658295097,-1.108808383,8,0
0.123874,0.093040856,-0.025907508,-0.06241656,-0.196046162,-0.511742315,9,0
-0.426191018,-0.181136671,-0.269613259,-0.184551693,-0.381581858,-0.250525911,8,0
-0.464927991,-0.197360193,-0.481968513,-0.127487401,-0.4992645,1.074214426,3,0
0.449264574,0.11056226,0.140605037,-0.111328601,-1.611418472,0.141298696,9,0
-1.229706517,-0.588671552,-0.320483877,-0.28647556,-0.021642608,0.029348808,1,0
1.031425941,0.432761413,0.707871578,-0.231765376,-0.911683847,0.831656336,9,0
0.337480737,0.138466719,1.234027561,-0.188621293,-1.111532297,-0.586375574,9,0
0.138262018,0.033013823,0.687168419,-0.192119334,-1.091918523,0.514464988,9,0
-0.138430647,-0.038694145,0.023484312,-0.109125255,-0.386882878,0.010690494,9,0
-0.808026896,-0.3839307,0.440800834,-0.22002306,0.184567065,-0.605033888,1,0
-0.201516574,-0.03512497,-0.071158698,-0.172450583,0.328754806,0.122640381,3,0
-0.238040006,0.020359476,0.753418526,0.193180937,1.156774113,0.477148359,3,0
0.02426464,-0.025066386,0.591933891,-0.183430767,-1.422172062,-0.586375574,8,0
-0.427297789,-0.171078087,0.89124241,-0.136748994,0.766088947,-0.175892652,1,0
1.324720166,0.567092178,0.672380449,-0.195384052,-1.303959319,-0.474425686,9,1
1.195227998,0.494735269,0.239388679,-0.215921807,-0.805663449,0.551781617,9,0
-0.21147751,-0.068545426,-0.011119538,-0.194709539,-0.172721675,0.010690494,9,0
0.142689101,0.021657358,0.742771188,-0.182792638,-1.863216917,-0.549058944,8,0
0.214629194,0.070327925,1.531265764,-0.18561535,-1.032547101,-0.884908607,9,0
-0.054316076,-0.066598604,0.620326794,-0.203652965,-1.807026106,-0.866250293,8,0
0.029798494,0.146254009,0.623580147,0.141566925,0.557758866,-0.28784254,1,0
-0.046568682,0.048912875,-0.143915511,-0.212420992,0.14586962,-0.474425686,1,1
-0.984003431,-0.530266871,-0.36396051,-0.192172851,0.577372639,-1.071491753,1,0
-0.974042495,-0.453042905,-0.077073886,-0.103944356,-0.051328319,-0.679667147,1,0
-0.452753514,-0.11526917,-0.250684657,0.181883076,2.174039829,-0.922225237,1,0
-0.759328987,-0.309302497,-0.11463533,-0.182682014,-1.376583291,-0.567717259,8,0
-0.259068648,-0.081199774,0.083819231,-0.201924095,-0.033304852,-0.474425686,1,0
0.138262018,0.065460868,0.297949041,-0.160620648,-0.663066014,0.346540156,9,0
0.891972838,0.759178682,0.348819659,-0.357941555,0.499447647,-1.314049843,9,0
0.010983393,0.132950721,0.140013518,0.456428146,0.576842537,-0.101259394,1,0
-0.604381094,-0.269068162,-0.446181624,-0.277363913,0.14852013,-0.269184225,1,0
3.44639952,1.375023589,-0.32403299,-0.144816075,-1.138567498,-1.01551681,0,0
0.085137027,0.173833997,-0.038329404,0.298024108,0.408270105,-0.231867596,1,1
-0.036607746,0.200765044,-0.1797024,-0.851262424,1.075138407,-0.269184225,1,0
-0.520266524,-0.2236423,-0.501488633,2.303235058,0.211602267,-0.455767371,4,0
0.312025012,0.208876805,-0.186504866,0.5955095,-0.402255836,0.383856786,9,0
-0.802493042,-0.444931144,-0.729814895,-0.481351151,-0.137204842,-0.77295872,8,0
0.103952128,0.19005752,-0.575724244,-0.145693236,0.698765995,-1.052833439,1,0
1.191907686,0.469751044,-0.671254532,-0.192888808,-1.088737911,-0.605033888,9,1
-0.12736294,-0.033827088,-0.436421564,-0.170269916,-0.285633399,0.663731505,3,0
-0.334329053,-0.08574236,-0.221404476,-0.046784939,0.866278223,0.029348808,1,0
0.003235998,0.263712311,-0.499714077,-0.204338574,1.173737376,0.346540156,3,1
-0.253534795,-0.072763542,-0.526628183,-0.171010184,-0.075182909,1.036897797,3,1
